"event_message","id","timestamp"
"Schema cache loaded 21 Relations, 11 Relationships, 33 Functions, 0 Domain Representations, 4 Media Type Handlers, 1194 Timezones","c91d2137-57cc-4d9c-9733-e5be0a8ff0bd","1743293108365939"
"Schema cache queried in 4.7 milliseconds","fc60d04b-2acb-4e36-8c66-e3848dd2ccde","1743293108363970"
"Config reloaded","5c43ca26-e0f1-4927-b730-3d4b81d0fbf2","1743293107995292"
"Successfully connected to PostgreSQL 15.6 on aarch64-unknown-linux-gnu, compiled by gcc (GCC) 13.2.0, 64-bit","1c4345e1-6794-410b-946a-c8f40b563c96","1743293107980909"
"Received a schema cache reload message on the "pgrst" channel","abb10fcc-6b4b-42dd-bffd-1d3c7df116d1","1743293107969204"
"Schema cache loaded 21 Relations, 11 Relationships, 32 Functions, 0 Domain Representations, 4 Media Type Handlers, 1194 Timezones","0f56b009-b18f-4cc4-9364-765a9c3008d8","1743292968983149"
"Schema cache queried in 6.1 milliseconds","bb43c85f-22bc-4340-84dd-60ca787a9f1b","1743292968978870"
"Config reloaded","d22f3177-05f9-48a5-8c1d-accae3132a7f","1743292968638572"
"Listening for notifications on the "pgrst" channel","72b35bc7-a485-4dd7-b640-892842c6d000","1743292968622317"
"Successfully connected to PostgreSQL 15.6 on aarch64-unknown-linux-gnu, compiled by gcc (GCC) 13.2.0, 64-bit","dfea383e-2e0b-4723-8df4-2c28dad7d3bc","1743292968622153"
"Listening on port 3000","a16a4ccb-3928-4f13-981f-36ea55e1729a","1743292968591423"
"Starting PostgREST 12.2.3 (519615d)...","add3845c-47ae-42bc-b77c-fb30b43985a2","1743292968588654"
"Schema cache loaded 11 Relations, 7 Relationships, 6 Functions, 0 Domain Representations, 4 Media Type Handlers, 1194 Timezones","72947c96-5c0e-4cd7-801e-4c527dab52f4","1743292623254466"
"Schema cache queried in 3.7 milliseconds","bb3d8241-89a1-4c1b-a204-749c2979f8b5","1743292623253762"
"Config reloaded","fc8f7dc1-507b-45e3-84ce-4e1c1136825f","1743292623123951"
"Successfully connected to PostgreSQL 15.6 on aarch64-unknown-linux-gnu, compiled by gcc (GCC) 13.2.0, 64-bit","830be831-04e7-4421-8d6e-f26cd910246a","1743292623114984"
"Received a schema cache reload message on the "pgrst" channel","b994a5ce-572a-4d05-8bc8-f39993413f0f","1743292623029048"
"Schema cache loaded 9 Relations, 7 Relationships, 5 Functions, 0 Domain Representations, 4 Media Type Handlers, 1194 Timezones","377de75e-a00f-4030-acf3-82d5144daa58","1743292623003290"
"Schema cache queried in 4.6 milliseconds","4be856fd-28ef-4e32-b6b5-35aa0ba93633","1743292623002510"
"Received a schema cache reload message on the "pgrst" channel","623de214-c14a-4ca0-9bc4-0a9f978f2d0d","1743292622945364"
